name,address,city,website,schedule,longitude,latitude,distance_km,type,luxury,beach,wild,rating,long_buf,lat_buf
Camping Lido Tellina,SP 141 km 6 5 Loc. Sciali,Foggia,http://www.tellina.it/,Schedule not available,15.892874,41.553168,30.779064897278314,Town,Campsite,0,1,3.6,15.5446302,41.4621984
Camping Lido Tellina,SP 141 km 6 5 Loc. Sciali,Andria,http://www.tellina.it/,Schedule not available,15.892874,41.553168,53.975608886386844,Village,Campsite,0,1,3.6,16.22868,41.1382473
Camping Lido Tellina,SP 141 km 6 5 Loc. Sciali,Barletta,http://www.tellina.it/,Schedule not available,15.892874,41.553168,41.715261946024576,Village,Campsite,0,1,3.6,16.2838207,41.3196635
Camping Molinella Di Gaetano Lavacca & C. Snc,Km. 2.000 Localita' Molinella Vieste FG 71019,Foggia,Website not available,Schedule not available,16.14318,41.90753,70.21296132213308,Town,Campsite,0,1,3.9,15.5446302,41.4621984
Camping Internazionale Ippocampo - Lido Bluemarine,S.P. 141 Km10805 Località Ippocampo Manfredonia,Foggia,http://www.campingippocampo.it/,Schedule not available,15.9135461,41.5094673,31.25382417661678,Town,Campsite,0,1,3.8,15.5446302,41.4621984
Camping Internazionale Ippocampo - Lido Bluemarine,S.P. 141 Km10805 Località Ippocampo Manfredonia,Andria,http://www.campingippocampo.it/,Schedule not available,15.9135461,41.5094673,48.94707233210292,Village,Campsite,0,1,3.8,16.22868,41.1382473
Camping Internazionale Ippocampo - Lido Bluemarine,S.P. 141 Km10805 Località Ippocampo Manfredonia,Barletta,http://www.campingippocampo.it/,Schedule not available,15.9135461,41.5094673,37.45268430615987,Village,Campsite,0,1,3.8,16.2838207,41.3196635
Camping Oasis Village,Litoranea Vieste Peschici km 4 Vieste,Foggia,https://www.oasivieste.it/,Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours,16.1291961,41.911621,69.71501013959697,Town,Glamping,0,1,4.6,15.5446302,41.4621984
Villaggio Camping Baia della Tufara,Litoranea Vieste -Peschici Km4 loc. Porticello Vieste,Foggia,https://www.villaggiobaiadellatufara.it/,Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours,16.137411,41.911836,70.21109183182539,Town,Campsite,0,1,4.4,15.5446302,41.4621984
Camping Holidays Touring Center,Litoranea Vieste-Peschici (Km. 4.700 Vieste,Foggia,https://www.campingvillagetouring.it/,Schedule not available,16.1235173,41.9127243,69.47370960301325,Town,Campsite,0,1,4.2,15.5446302,41.4621984
Villaggio Le Diomedee,Litoranea Peschici - Vieste km 5 Vieste,Foggia,http://www.lediomedee.it/,Monday: 9:00 AM – 10:00 PM Tuesday: 9:00 AM – 10:00 PM Wednesday: 9:00 AM – 10:00 PM Thursday: 9:00 AM – 10:00 PM Friday: 9:00 AM – 10:00 PM Saturday: 9:00 AM – 11:00 PM Sunday: 9:00 AM – 11:00 PM,16.1243948,41.9119075,69.45935438081003,Town,Campsite,0,1,4.2,15.5446302,41.4621984
