rating,distance_km,longitude,latitude
4.5,0.4217013540121585,-3.6988242,40.4166515
4.5,16.621950423968055,-3.6988242,40.4166515
4.5,19.46500314215433,-3.6988242,40.4166515
4.5,20.914032717109205,-3.6988242,40.4166515
4.5,11.118903403104785,-3.6988242,40.4166515
4.5,13.420750776635357,-3.6988242,40.4166515
4.5,14.374495161551993,-3.6988242,40.4166515
4.5,15.715051624249078,-3.6988242,40.4166515
4.5,9.83147836904762,-3.6988242,40.4166515
4.5,16.96052419830825,-3.6988242,40.4166515
5.0,2.8890645793827225,-3.6728029,40.40601059999999
5.0,16.99243455789683,-3.6728029,40.40601059999999
5.0,17.665036886844785,-3.6728029,40.40601059999999
5.0,20.612731623186267,-3.6728029,40.40601059999999
5.0,11.571710308707967,-3.6728029,40.40601059999999
5.0,14.71467454160393,-3.6728029,40.40601059999999
5.0,14.882491503415466,-3.6728029,40.40601059999999
5.0,18.213885393630516,-3.6728029,40.40601059999999
5.0,12.318371075882984,-3.6728029,40.40601059999999
5.0,17.43853139514815,-3.6728029,40.40601059999999
4.5,2.298315305504217,-3.6818352,40.4288935
4.5,18.548690189204507,-3.6818352,40.4288935
4.5,17.776981529761784,-3.6818352,40.4288935
4.5,13.047357070428983,-3.6818352,40.4288935
4.5,15.385160252098686,-3.6818352,40.4288935
4.5,12.612989326405591,-3.6818352,40.4288935
4.5,16.584633461503426,-3.6818352,40.4288935
4.5,10.853946177785236,-3.6818352,40.4288935
4.5,15.194542167925276,-3.6818352,40.4288935
4.8,4.54928670285686,-3.6937439,40.4570185
4.8,20.73812075908426,-3.6937439,40.4570185
4.8,18.512183549188773,-3.6937439,40.4570185
4.8,15.274825350083043,-3.6937439,40.4570185
4.8,16.711119336312724,-3.6937439,40.4570185
4.8,10.115968804787826,-3.6937439,40.4570185
4.8,14.921611723002194,-3.6937439,40.4570185
4.8,9.699914764380898,-3.6937439,40.4570185
4.8,12.68612052342548,-3.6937439,40.4570185
4.7,2.1293303094233367,-3.6818737,40.4261105
4.7,18.291198089807374,-3.6818737,40.4261105
4.7,17.836921841886372,-3.6818737,40.4261105
4.7,12.791785298516674,-3.6818737,40.4261105
4.7,15.201739494705398,-3.6818737,40.4261105
4.7,12.909110641414046,-3.6818737,40.4261105
4.7,16.677282326598036,-3.6818737,40.4261105
4.7,10.914100557163428,-3.6818737,40.4261105
4.7,15.489629040362086,-3.6818737,40.4261105
4.7,3.324262743995792,-3.6646347,40.417531
4.7,18.41614088135977,-3.6646347,40.417531
4.7,16.628333913031067,-3.6646347,40.417531
4.7,12.974780366453132,-3.6646347,40.417531
4.7,15.92739802946389,-3.6646347,40.417531
4.7,13.495840911780554,-3.6646347,40.417531
4.7,18.372669830225373,-3.6646347,40.417531
4.7,12.56483762596661,-3.6646347,40.417531
4.7,16.040169397783178,-3.6646347,40.417531
3.8,2.516739894345572,-3.698520199999999,40.4390793
3.8,18.7845877573006,-3.698520199999999,40.4390793
3.8,19.021350613957978,-3.698520199999999,40.4390793
3.8,13.303175125023358,-3.698520199999999,40.4390793
3.8,15.015129069402905,-3.698520199999999,40.4390793
3.8,12.07673088558911,-3.698520199999999,40.4390793
3.8,14.90815062366719,-3.698520199999999,40.4390793
3.8,9.286055798976747,-3.698520199999999,40.4390793
3.8,14.656666087925869,-3.698520199999999,40.4390793
4.8,1.847088030050425,-3.7038213,40.4334094
4.8,18.017111452665542,-3.7038213,40.4334094
4.8,19.54303777579846,-3.7038213,40.4334094
4.8,12.539361605920185,-3.7038213,40.4334094
4.8,14.257706469644145,-3.7038213,40.4334094
4.8,12.839273183468183,-3.7038213,40.4334094
4.8,14.654862752190272,-3.7038213,40.4334094
4.8,8.92789592934534,-3.7038213,40.4334094
4.8,15.417307170174356,-3.7038213,40.4334094
5.0,1.908326763412982,-3.6915244,40.4311792
5.0,18.31915985730536,-3.6915244,40.4311792
5.0,18.546149987023263,-3.6915244,40.4311792
5.0,12.818183659953649,-3.6915244,40.4311792
5.0,14.888452663999692,-3.6915244,40.4311792
5.0,12.646466589463897,-3.6915244,40.4311792
5.0,15.724184590014543,-3.6915244,40.4311792
5.0,9.998816066367205,-3.6915244,40.4311792
5.0,15.23249130276822,-3.6915244,40.4311792
4.6,5.909927781769682,-3.6964734,40.4697029
4.6,21.90774093639724,-3.6964734,40.4697029
4.6,18.79698610579601,-3.6964734,40.4697029
4.6,16.478039240421523,-3.6964734,40.4697029
