X,Y,Name,Direcci__n,Localidad,Provincia,Web,Tlf,X,Y,_info,info,n
0.0,0.000000026167978,"Camping Emporda: Bungalows en l&apos;Estartit","Carretera a l&apos;Estartit", km 4,8," 17258 L&apos;Estartit", Girona,Estartit,Girona,campingemporda.com,972 75 06 49,"420,502,403"
0.0,0.000000026167978,Camping Estartit,Carrer Villa Primavera, 12," 17258 L&apos;Estartit", Girona,Estartit,Girona,campingestartit.com,972 75 19 09,"420,567,751",31
0.0,0.000000026167978,Camping Etxarri,Lugar, Danbolintxulo, 0 S N, 31820 Etxarri-Aranatz, Navarra,Echarri-Aranaz,Navarra,campingetxarri.com,948 46 05 37,"429,128,461"
0.0,0.000000026167978,Camping Ezcaba,Carretera N-121A, Km 7 Carretera Pamplona-Irun, Km 7, 31194 Orikain, Navarra,Oricáin,Navarra,campingezcaba.com,948 33 03 15,"428,571,973"
0.0,0.000000026167978,Camping Fuentes Carrionas,Calle Antonio Villanueva, S/N, 34840 Cervera de Pisuerga, Palencia,Cervera de Pisuerga,Palencia,campingfuentescarrionas.com,979 87 04 24,"428,726,592",-45
0.0,0.000000026167978,Camping Giralda Isla Cristina,Carr. Prov. 4117, Isla Cristina-La Antilla Km 1,5, 21410 Isla Cristina, Huelva,Isla Cristina,Huelva,campinggiralda.com,959 34 33 18,37.200106
0.0,0.000000026167978,Camping Globo Rojo Barcelona,Carrer Drassanes de Pla, 46, 08360 Canet de Mar, Barcelona,Canet de Mar,Barcelona,globo-rojo.com,937 94 11 43,"415,913,202",25
0.0,0.000000026167978,Camping Granada,Paraje, Cerro de la Cruz, 18210, Granada,Peligros,Granada,campinggranada.es,958 34 05 48,37.2414475,-3.6311893
0.0,0.000000026167978,"Camping municipal de Agüero,peña sola",Calle Afueras, s/n, 22808 Agüero, Huesca,Agüero,Huesca,campingaguerohuesca.com,636 66 14 70,"423,553,268",-0.7971025
0.0,0.000000026167978,Camping Bungalows Igueldo San Sebastián,Padre Orkolaga Ibilbidea, 69, 20008 Donostia, Gipuzkoa,San Sebastián,Gipuzkoa,campingigueldo.com,943 21 45 02,"433,047,504",-20
0.0,0.000000026167978,Camping Jávea,Cami de la Fontana, 10, Acesso por Calle Liverpool, 9, 03730 Xàbia, Alicante,Jávea,Alicante,campingjavea.es,965 79 10 70
0.0,0.000000026167978,Camping Joan Bungalow Park,Passeig Marítim, 88, 43850 Cambrils, Tarragona,Cambrils,Tarragona,campingjoan.com,977 36 46 04,"410,578,018",1
0.0,0.000000026167978,Camping Kims,Carrer de Ciceró, 56, 17211 Llafranc, Girona,Llafranch,Girona,campingkims.com,972 30 11 56,"418,988,045",31
0.0,0.000000026167978,"Camping King&apos;s",Platja de la Fosca, s/n, 17230 Palamós, Girona,Palamós,Girona,campingkings.com,972 31 75 11,"418,626,454",31
0.0,0.000000026167978,Camping La Bella Vista,Crtra Nacional 340 km 142.8, 29692 Alcorrín, Málaga,Alcorrín,Málaga,campinglabellavista.com,952 89 00 20,36.346811,-5.235995,https://g.page/campinglabellavista?share
0.0,0.000000026167978,Camping Restaurante La Estanca,Camino de Valmuel, s/n, 44600 Alcañiz, Teruel,Alcañiz,Teruel,campinglaestanca.com,978 72 60 96,"410,671,076",-0.1867532
0.0,0.000000026167978,Camping La Estepa,Calle Afueras, s/n, 22223 Valfarta, Huesca,Valfarta,Huesca,camping-la-estepa.negocio.site,605 94 90 06,"415,615,071",-0.1311219
0.0,0.000000026167978,Camping La Fuente,Calle de la Bocamina, 30626 Los Baños de Fortuna, Murcia,Los Baños de Fortuna,Murcia,campingfuente.com,968 68 62 43,"382,065,799",-11,071
