name,city,type
"Camper Duke",""Alcalá de Guadaíra",",campsite
"Finca Angela Sevilla",""Alcalá de Guadaíra",",campsite
"Multiparking La Jabega",""Alcalá de Guadaíra",",campsite
"Área de Autocaravanas Aires",""Alcalá de Guadaíra",",campsite
"Motorhome Parking Area El Castillo de las Guardas",""Alcalá de Guadaíra",",campsite
"Camping Osuna",""Collado Villalba",",campsite
"Camping Madrid Monte Holiday",""Collado Villalba",",campsite
"Camping El Valle",""Collado Villalba",",campsite
"Camping Madrid Arco Iris",""Collado Villalba",",campsite
"Camping San Juan",""Collado Villalba",",campsite
"Camping Pico de la Miel",""Collado Villalba",",campsite
"Camping Capfun El Escorial",""Collado Villalba",",campsite
"CAMPING EL PICACHUELO",""Collado Villalba",",campsite
"Camping Piscis",""Collado Villalba",",campsite
"CAMPING Cervera de Buitrago",""Collado Villalba",",campsite
"Camping La Nava",""Collado Villalba",",campsite
"Area las Cigueñas",""Collado Villalba",",campsite
"Camping Valle de Iruelas",""Collado Villalba",",campsite
"FERNANMOR S.L.",""Collado Villalba",",campsite
"Camping Los Herrenes",""Collado Villalba",",campsite
"Camping el Ortigal",""Collado Villalba",",campsite
"Camping Privado Caravan Garden",""Collado Villalba",",campsite
"Camping Arganda",""Collado Villalba",",campsite
"Camping El Canto la Gallina",""Collado Villalba",",campsite
"Finca De Los Sueños",""Collado Villalba",",campsite
"Camping Caravaning La Manga",""Molina de Segura",",campsite
"Camping Florantilles",""Molina de Segura",",campsite
"Camping La Fuente",""Molina de Segura",",campsite
"Camper Park San Fulgencio - Camping",""Molina de Segura",",campsite
"Camping Sierra Espuña",""Molina de Segura",",campsite
"Camping la Paz",""Molina de Segura",",campsite
"Camping San Javier",""Molina de Segura",",campsite
"Sheppards Rest",""Molina de Segura",",campsite
"Camp El Tranquilo - Camp Pinoso - Adultos Solo - NO Children Pinoso Camp",""Molina de Segura",",campsite
"Càmping Les Palmeres",""Molina de Segura",",campsite
"Camping La Pedrera",""Molina de Segura",",campsite
"CAMPING LA RAFA",""Molina de Segura",",campsite
"Camper park Casablanca murcia",""Molina de Segura",",campsite
"CAMPING EL REFUGIO",""Molina de Segura",",campsite
"Minicamping Oasis - Camping",""Molina de Segura",",campsite
"Área de caravanas y camper cartagena",""Molina de Segura",",campsite
"Camping Mar Menor",""Molina de Segura",",campsite
"Alannia Guardamar",""Molina de Segura",",campsite
"camping los viveros",""Molina de Segura",",campsite
"Camping Palm - Mar",""Molina de Segura",",campsite
"Camping Almayate Costa..",""Vélez-Málaga",",campsite
"Camping Torre del Mar",""Vélez-Málaga",",campsite
"Camping Reina Isabel",""Vélez-Málaga",",campsite
"Villa Del Mar , Camping Nerja",""Vélez-Málaga",",campsite
"Camping Valle Niza",""Vélez-Málaga",",campsite
"Camping El Pino en Málaga, Costa del Sol",""Vélez-Málaga",",campsite
"Camping Iznate",""Vélez-Málaga",",campsite
"Kampaoh Benajarafe",""Vélez-Málaga",",campsite
"Camping Playa de Poniente",""Vélez-Málaga",",campsite
"Camping Laguna Playa",""Vélez-Málaga",",campsite
"NUEVO CAMPING LA HERRADURA",""Vélez-Málaga",",campsite
"Camping Cortijo San Miguel (Nerja)",""Vélez-Málaga",",campsite
"Camping Granada - Los Bermejales",""Vélez-Málaga",",campsite
"Camping Torremolinos",""Vélez-Málaga",",campsite
"Camping Tropical",""Vélez-Málaga",",campsite
"Finca Oasis las Palmeras Caravan parking",""Vélez-Málaga",",campsite
"Kampaoh Costa del Sol",""Vélez-Málaga",",campsite
"Aparcamiento de Caravanas",""Vélez-Málaga",",campsite
"Camping Rural Presa La Viñuela",""Vélez-Málaga",",campsite
"Camping La Herradura",""Vélez-Málaga",",campsite
"Camping 3 Estrelles",""Vilanova i la Geltrú",",campsite
"Camping Estrella de Mar",""Vilanova i la Geltrú",",campsite
"Vilanova Park",""Vilanova i la Geltrú",",campsite
"Camping La Pineda de Salou",""Vilanova i la Geltrú",",campsite
"Camping Caledonia",""Vilanova i la Geltrú",",campsite
"Camping Trillas Spa Tamarit",""Vilanova i la Geltrú",",campsite
"Tamarit Beach Resort",""Vilanova i la Geltrú",",campsite
"Camping Mar De Cunit",""Vilanova i la Geltrú",",campsite
"Camping Montblanc Park Capfun",""Vilanova i la Geltrú",",campsite
"Camping Platja Vilanova",""Vilanova i la Geltrú",",campsite
"Camping la Rueda",""Vilanova i la Geltrú",",campsite
"Càmping Masnou",""Vilanova i la Geltrú",",campsite
"Camping Arc de Bara",""Vilanova i la Geltrú",",campsite
"Càmping Mas Albà",""Vilanova i la Geltrú",",campsite
"Paramount Places",""Vilanova i la Geltrú",",campsite
"Camping Las Salinas",""Vilanova i la Geltrú",",campsite
"Stel Camping & Bungalows Resort",""Vilanova i la Geltrú",",campsite
"Las Palmeras Camping & Bungalow Hotel",""Vilanova i la Geltrú",",campsite
"Camping Relaxsol",""Vilanova i la Geltrú",",campsite
"Camping Vilanova Y La Geltru",""Vilanova i la Geltrú",",campsite
"Camping Roche",""El Puerto de Santa María",",campsite
"Camping La Rana Verde",""El Puerto de Santa María",",campsite
"Camping El Palmar",""El Puerto de Santa María",",campsite
"Camping Faro De Trafalgar",""El Puerto de Santa María",",campsite
"Camping La Rosaleda",""El Puerto de Santa María",",campsite
"Camping Playa Aguadulce",""El Puerto de Santa María",",campsite
"Camping Lago Arcos",""El Puerto de Santa María",",campsite
"Camping Bungalows Medina Sidonia",""El Puerto de Santa María",",campsite
"Camping El Faro",""El Puerto de Santa María",",campsite
"Camping Fuente Del Gallo, S.L.",""El Puerto de Santa María",",campsite
"Camping Conil",""El Puerto de Santa María",",campsite
"Campo y Mar",""El Puerto de Santa María",",campsite
"Kampaoh El Puerto",""El Puerto de Santa María",",campsite
"Kampaoh Los Caños",""El Puerto de Santa María",",campsite
"Camping La Siesta de la Gaviota",""El Puerto de Santa María",",campsite
"Camping Pinar San José",""El Puerto de Santa María",",campsite
"Camper and Van",""El Puerto de Santa María",",campsite
"Camping Vejer",""El Puerto de Santa María",",campsite
"Stone Pines Eco Glamping",""El Puerto de Santa María",",campsite
Campings,""El Puerto de Santa María",",campsite
"Motorhome park for free",""Santa Lucía de Tirajana",",campsite
"Camping Tasartico",""Santa Lucía de Tirajana",",campsite
"Motorhome Park",""Santa Lucía de Tirajana",",campsite
"Camping Playa de Vargas",""Santa Lucía de Tirajana",",campsite
"Motorhome and car free parking",""Santa Lucía de Tirajana",",campsite
"Paying motorhome area",""Santa Lucía de Tirajana",",campsite
"Zona de acampada Llanos de la Pez",""Santa Lucía de Tirajana",",campsite
"Club de Camping y Caravaning Gran Canaria",""Santa Lucía de Tirajana",",campsite
"Camping El Pinillo",""Santa Lucía de Tirajana",",campsite
"Motorhome and car park",""Santa Lucía de Tirajana",",campsite
"Zona de Acampada Morro De Santiago",""Santa Lucía de Tirajana",",campsite
"Camping Temisas",""Santa Lucía de Tirajana",",campsite
"Llanos del Salado",""Santa Lucía de Tirajana",",campsite
"Camp the Garañón",""Santa Lucía de Tirajana",",campsite
"Zona De Acampada Salinetas",""Santa Lucía de Tirajana",",campsite
"Llanos de La Mimbre",""Santa Lucía de Tirajana",",campsite
"Bungalows Vista Dunas",""Santa Lucía de Tirajana",",campsite
"Parking caravanas",""Santa Lucía de Tirajana",",campsite
"Alto Del Pozo",""Santa Lucía de Tirajana",",campsite
"Camping 3 Estrelles",""Granollers",",campsite
"Càmping Bon Repòs",""Granollers",",campsite
"Camping BARCELONA",""Granollers",",campsite
"Camping Estrella de Mar",""Granollers",",campsite
"Camping Bellsol",""Granollers",",campsite
"Vilanova Park",""Granollers",",campsite
"Càmping Blanes",""Granollers",",campsite
"Camping Resort Els Pins",""Granollers",",campsite
"Càmping Enmar",""Granollers",",campsite
"CÀMPING CANYELLES",""Granollers",",campsite
"Campinggemeinschaft Roquetes",""Granollers",",campsite
"Camping Gironella",""Granollers",",campsite
"Càmping Riudarenes S.L.",""Granollers",",campsite
"Camping Platja Vilanova",""Granollers",",campsite
"Càmping S'Abanell",""Granollers",",campsite
"Camping El Far",""Granollers",",campsite
"Càmping Oasis",""Granollers",",campsite
"Càmping Masnou",""Granollers",",campsite
"Càmping Mas Albà",""Granollers",",campsite
"Paramount Places",""Granollers",",campsite
"Camping 3 Estrelles",""Cerdanyola del Vallès",",campsite
"Càmping Bon Repòs",""Cerdanyola del Vallès",",campsite
"Camping BARCELONA",""Cerdanyola del Vallès",",campsite
"Camping Estrella de Mar",""Cerdanyola del Vallès",",campsite
"Camping Bellsol",""Cerdanyola del Vallès",",campsite
"Vilanova Park",""Cerdanyola del Vallès",",campsite
"Càmping Enmar",""Cerdanyola del Vallès",",campsite
"Camping Mar De Cunit",""Cerdanyola del Vallès",",campsite
"Campinggemeinschaft Roquetes",""Cerdanyola del Vallès",",campsite
"Càmping Riudarenes S.L.",""Cerdanyola del Vallès",",campsite
"Camping Platja Vilanova",""Cerdanyola del Vallès",",campsite
"Camping la Rueda",""Cerdanyola del Vallès",",campsite
"Camping El Far",""Cerdanyola del Vallès",",campsite
"Camping Cal Paradis",""Cerdanyola del Vallès",",campsite
"Càmping Oasis",""Cerdanyola del Vallès",",campsite
"Càmping Masnou",""Cerdanyola del Vallès",",campsite
"Càmping Mas Albà",""Cerdanyola del Vallès",",campsite
"Paramount Places",""Cerdanyola del Vallès",",campsite
"Càmping La Verneda",""Cerdanyola del Vallès",",campsite
"Càmping El Toro Azul",""Cerdanyola del Vallès",",campsite
"Turtle surf & yoga Fuerteventura",""Arrecife",",campsite
"Camping Papagayo",""Arrecife",",campsite
"Aparcamiento Bosquecillo",""Arrecife",",campsite
Furgo,""Arrecife",",campsite
"Área de Servicio Camper Fuerteventura",""Arrecife",",campsite
"Area descanso autocaravanas y Camper",""Arrecife",",campsite
"La maxada",""Arrecife",",campsite
"Cabañas Volcan Capellania Parking autocaravanas camping",""Arrecife",",campsite
"Glampling Corner - back to nature",""Arrecife",",campsite
"Mundo Camping",""Arrecife",",campsite
"El jardín secreto",""Arrecife",",campsite
"Tahiche Parking Lanzarote",""Arrecife",",campsite
"Punto Amigo Autocaravanas - Camper service point",""Arrecife",",campsite
"Camping Cabopino",""Benalmádena",",campsite
"Camping Almayate Costa..",""Benalmádena",",campsite
"Camping Park Pizarra",""Benalmádena",",campsite
"Camping Torre del Mar",""Benalmádena",",campsite
"Camping Los Jarales",""Benalmádena",",campsite
"Camping Valle Niza",""Benalmádena",",campsite
"Camping La Buganvilla",""Benalmádena",",campsite
"Camping y Apartamentos Parque Ardales",""Benalmádena",",campsite
"Camping Iznate",""Benalmádena",",campsite
"Kampaoh Benajarafe",""Benalmádena",",campsite
"Camping Laguna Playa",""Benalmádena",",campsite
"Caminito del Rey. PARQUE ARDALES",""Benalmádena",",campsite
"Kampaoh Marbella",""Benalmádena",",campsite
"Camping Torremolinos",""Benalmádena",",campsite
"Finca Oasis las Palmeras Caravan parking",""Benalmádena",",campsite
"Kampaoh Costa del Sol",""Benalmádena",",campsite
"Aparcamiento de Caravanas",""Benalmádena",",campsite
"Camping Rural Presa La Viñuela",""Benalmádena",",campsite
"Camping Rural JeSuNoJa",""Benalmádena",",campsite
"Camping-Naturista Almanat -Bungalows Naturista Almanat-FKK",""Benalmádena",",campsite
"Douro Camping",""Zamora",",campsite
"Camping Los Arribes",""Zamora",",campsite
"Camping Olimpia",""Zamora",",campsite
"Camping Los Arribes Cibanal",""Zamora",",campsite
"Parking Pisones, Zamora",""Zamora",",campsite
"Camperplaats Villafafila",""Zamora",",campsite
"Área Municipal de Autocaravanas",""Zamora",",campsite
"Camping-bungalow Los Arenales Almagro",""Ciudad Real",",campsite
"Camping La Tabla de la Yedra- Campamento Albergue La Tabla de la Yedra - Restaurante Terraza La Tabla de la Yedra",""Ciudad Real",",campsite
"Luciana Camping",""Ciudad Real",",campsite
"Área de Autocaravanas pública de Valdepeñas",""Ciudad Real",",campsite
"Area de autocaravanas",""Ciudad Real",",campsite
"Area de Autocaravanas Daimiel",""Ciudad Real",",campsite
"Área de servicio de autocaravanas",""Ciudad Real",",campsite
"Camping-bungalow Los Arenales Almagro",""Pozuelo de Calatrava",",campsite
"Camping La Tabla de la Yedra- Campamento Albergue La Tabla de la Yedra - Restaurante Terraza La Tabla de la Yedra",""Pozuelo de Calatrava",",campsite
"Área de Autocaravanas pública de Valdepeñas",""Pozuelo de Calatrava",",campsite
"Luciana Camping",""Pozuelo de Calatrava",",campsite
"Area de autocaravanas",""Pozuelo de Calatrava",",campsite
"Estacionamiento Autocaravana Puerto Lápice",""Pozuelo de Calatrava",",campsite
Parking,""Pozuelo de Calatrava",",campsite
"Area de Autocaravanas Daimiel",""Pozuelo de Calatrava",",campsite
"Área de servicio de autocaravanas",""Pozuelo de Calatrava",",campsite
"Área autocaravanas Dehesa Boyal",""Pozuelo de Calatrava",",campsite
"Camping Cabopino",""Fuengirola",",campsite
"Camping Almayate Costa..",""Fuengirola",",campsite
"Camping Park Pizarra",""Fuengirola",",campsite
"Camping Torre del Mar",""Fuengirola",",campsite
"Camping Los Jarales",""Fuengirola",",campsite
"Camping Valle Niza",""Fuengirola",",campsite
"Camping Parque Tropical",""Fuengirola",",campsite
"Camping La Buganvilla",""Fuengirola",",campsite
"Camping y Apartamentos Parque Ardales",""Fuengirola",",campsite
"Camping Iznate",""Fuengirola",",campsite
"Camping El Sur",""Fuengirola",",campsite
"Kampaoh Benajarafe",""Fuengirola",",campsite
"Camping Municipal Conejeras",""Fuengirola",",campsite
"Nomading Camp Ronda",""Fuengirola",",campsite
"Camping Laguna Playa",""Fuengirola",",campsite
"Caminito del Rey. PARQUE ARDALES",""Fuengirola",",campsite
"Kampaoh Marbella",""Fuengirola",",campsite
"Camping Torremolinos",""Fuengirola",",campsite
"Finca Oasis las Palmeras Caravan parking",""Fuengirola",",campsite
"Kampaoh Costa del Sol",""Fuengirola",",campsite
"Camping La Fuente",""Elda",",campsite
"Camping Costa Blanca",""Elda",",campsite
"Camper Park San Fulgencio - Camping",""Elda",",campsite
"Camping Bon Sol",""Elda",",campsite
"Camping El Jardín",""Elda",",campsite
"Camping Alicante Imperium",""Elda",",campsite
"Camping Natura",""Elda",",campsite
"Sheppards Rest",""Elda",",campsite
"Camperpark Vista Montaña",""Elda",",campsite
"Camping Mariola",""Elda",",campsite
"Camping Font de Sis",""Elda",",campsite
"Camp El Tranquilo - Camp Pinoso - Adultos Solo - NO Children Pinoso Camp",""Elda",",campsite
"Càmping Les Palmeres",""Elda",",campsite
"Camping rural La Masia",""Elda",",campsite
"Camping La Pedrera",""Elda",",campsite
"Camping El Teularet",""Elda",",campsite
"CAMPING EL REFUGIO",""Elda",",campsite
"Minicamping Oasis - Camping",""Elda",",campsite
"Asc. Amigos de Acampada Campo Alegre",""Elda",",campsite
"Nomading Camp Alicante",""Elda",",campsite
"Zona d'acampada sa Font Coberta",""Calvià",",campsite
WC,""Calvià",",campsite
"Zona d'acampada Marjanor IBANAT",""Calvià",",campsite
"Zona d'acampada Es Pixarells IBANAT",""Calvià",",campsite
Pixarells,""Calvià",",campsite
"Verein der Freunde Mallorcas",""Calvià",",campsite
"El Llano",""Calvià",",campsite
"Camping Albufeira",""Faro",",campsite
"Camping Canelas",""Faro",",campsite
"Camping Monte Gordo",""Faro",",campsite
"Camping Olhão",""Faro",",campsite
"Bela Glamping & Caravan Parking",""Faro",",campsite
"Camping Praia de Armação de Pêra",""Faro",",campsite
"Camping Quinta de Odelouca ADULTS ONLY",""Faro",",campsite
"Samedi Camping",""Faro",",campsite
"Camping Ria Formosa",""Faro",",campsite
"Parque Caravaning Far West R66.",""Faro",",campsite
"Camping Lagoao",""Faro",",campsite
"Parque de Campismo Municipal de Faro",""Faro",",campsite
"Parque de Campismo Fuzeta",""Faro",",campsite
"Algarve camping car park",""Faro",",campsite
"Aire de Camping car",""Faro",",campsite
"Parque de Campismo da Ilha de Tavira",""Faro",",campsite
"Area sosta y servicios de Autocaravanas",""Faro",",campsite
"Free area Silves",""Faro",",campsite
"Algarve Motorhome Park Falésia",""Faro",",campsite
"Oasis Camping",""Faro",",campsite
"Camping Orbitur Valado",""Peniche",",campsite
"GreenCamp Eco Camping",""Peniche",",campsite
"Parque de Campismo Urban Art Camping, Grupo Campigir",""Peniche",",campsite
"Ericeira Camping",""Peniche",",campsite
"Orbitur S Pedro De Moel",""Peniche",",campsite
"ASA Peniche - Motorhome Park",""Peniche",",campsite
"Alenquer Camping",""Peniche",",campsite
"Parque Campismo S. Pedro Moel, Grupo Campigir",""Peniche",",campsite
"Camping Praia de Santa Cruz",""Peniche",",campsite
"Parque de Campismo Baía Azul",""Peniche",",campsite
"Parque de Campismo Municipal VFX",""Peniche",",campsite
"PenichePraia - Bungalows, Campers and SPA",""Peniche",",campsite
"Parque de Campismo Rural da Serra de Montejunto",""Peniche",",campsite
"Parque de Campismo Orbitur Foz de Arelho.",""Peniche",",campsite
"Parque de Campismo da Praia da Areia Branca",""Peniche",",campsite
"Yelloh village colina do sol",""Peniche",",campsite
"Camping Star Club",""Peniche",",campsite
"Parque De Campismo",""Peniche",",campsite
"Ohai The Outdoor Resorts",""Peniche",",campsite
"Camping Alcobaça",""Peniche",",campsite
"إطلالة جميلة للتخييم",""Nazaret",",campsite
"Camping area",""Nazaret",",campsite
"eshbal campsite",""Nazaret",",campsite
"Susita Beach",""Nazaret",",campsite
"مزرعة الحاج ابو وائل المومني",""Nazaret",",campsite
"קמפינג גבעת האהבה",""Nazaret",",campsite
"Camping space natural silence",""Nazaret",",campsite
"Campsite: Base Of Oren River",""Nazaret",",campsite
"Camping Indiani Jones",""Nazaret",",campsite
"Abu safieh view",""Nazaret",",campsite
"مخيم جنين",""Nazaret",",campsite
"Atlit Rooftop Glamping",""Nazaret",",campsite
"Ajlun Valley",""Nazaret",",campsite
"وادي الساخنة Wadi al sakhneh",""Nazaret",",campsite
"החוף הירוק כנרת",""Nazaret",",campsite
"סיפורי בדים",""Nazaret",",campsite
"Joy Of Discovery",""Nazaret",",campsite
"בוסתן אברהם",""Nazaret",",campsite
"החאן של אלירן",""Nazaret",",campsite
"اكواخ السنجاب",""Nazaret",",campsite
"Camping Villa Park Zambujeira",""Sines",",campsite
"Camping Milfontes",""Sines",",campsite
"Costa do Vizir Camping",""Sines",",campsite
"Camping Melides",""Sines",",campsite
"Camping of Alcacer do Sal",""Sines",",campsite
"Campsites Porto Covo",""Sines",",campsite
"Campigir São Torpes",""Sines",",campsite
"Orbitur Camping Park - Sitava Milfontes",""Sines",",campsite
Campiférias,""Sines",",campsite
"Santo André Lagoon",""Sines",",campsite
"Camping Corgo do Pardieiro",""Sines",",campsite
Seiya,""Sines",",campsite
"Parque de Campismo da Ilha do Pessegueiro",""Sines",",campsite
"Parque Campismo - Barragem Monte da Rocha",""Sines",",campsite
"Camping Monte Naturista O Barao",""Sines",",campsite
"ZMT 2104 (ZMANTRA)",""Sines",",campsite
"Area Camper Santiago do Cacém",""Sines",",campsite
"Sublim EcoLodge",""Sines",",campsite
"Domo Glamping Camp",""Sines",",campsite
"Estaçao de serviço autocaravanas",""Sines",",campsite
"Orbitur Vagueira",""Figueira da Foz",",campsite
"Orbitur S Pedro De Moel",""Figueira da Foz",",campsite
"Vila Caia Camping",""Figueira da Foz",",campsite
"Parque de Campismo da Praia de Pedrogão",""Figueira da Foz",",campsite
"Parque de Campismo de Luso",""Figueira da Foz",",campsite
"Mira Lodge Park",""Figueira da Foz",",campsite
"Parque Campismo S. Pedro Moel, Grupo Campigir",""Figueira da Foz",",campsite
"Camping Costa Nova",""Figueira da Foz",",campsite
"Club De Camping And Caravanning De Aguada De Baixo",""Figueira da Foz",",campsite
"Parque de Campismo da Praia da Vieira",""Figueira da Foz",",campsite
"Parque de Campismo - Federação de Campismo e Montanhismo de Portugal",""Figueira da Foz",",campsite
"Parque de campismo de Coimbra",""Figueira da Foz",",campsite
"Kampaoh Vagueira",""Figueira da Foz",",campsite
"Parque de Campismo da Praia da Tocha",""Figueira da Foz",",campsite
"Camping Coimbrão",""Figueira da Foz",",campsite
"Quinta da Cerejeira",""Figueira da Foz",",campsite
"O Tamanco Camping & Cantina",""Figueira da Foz",",campsite
"Campo de Escuteiros da Palhaça",""Figueira da Foz",",campsite
"Uxa Paraíso - Open Air Hotel",""Figueira da Foz",",campsite
"Parque Municipal de Campismo da Figueira da Foz",""Figueira da Foz",",campsite
"Parque Municipal de Campismo",""Aveiro",",campsite
"Orbitur Vagueira",""Aveiro",",campsite
"Camping Park of Furadouro",""Aveiro",",campsite
"Vila Caia Camping",""Aveiro",",campsite
"Parque de Campismo de Luso",""Aveiro",",campsite
"Mira Lodge Park",""Aveiro",",campsite
"Camping Costa Nova",""Aveiro",",campsite
"Club De Camping And Caravanning De Aguada De Baixo",""Aveiro",",campsite
"Camping Medas",""Aveiro",",campsite
"Parque Municipal de Campismo de Arganil",""Aveiro",",campsite
"Parque de Campismo - Federação de Campismo e Montanhismo de Portugal",""Aveiro",",campsite
"Camping Torreira Park",""Aveiro",",campsite
"NaturVeredas, Refúgio da Freita",""Aveiro",",campsite
"Kampaoh Vagueira",""Aveiro",",campsite
"Parque de Campismo da Praia da Tocha",""Aveiro",",campsite
"Camping Vouzela Park",""Aveiro",",campsite
"Parque de Campismo - Praia da Barra",""Aveiro",",campsite
"Parque de Campismo da Gafanha da Nazaré",""Aveiro",",campsite
"Campo de Escuteiros da Palhaça",""Aveiro",",campsite
"Parque de Campismo de Esmoriz",""Aveiro",",campsite
"Camping Rosário (adults only 16+)",""Evora",",campsite
Markádia,""Evora",",campsite
"Camping Alentejo",""Evora",",campsite
"Parque de Campismo Orbitur Evora",""Evora",",campsite
"Burriscas Campismo Rural",""Evora",",campsite
"Bubulcus & Bolotas",""Evora",",campsite
"Camping Caravanas",""Evora",",campsite
"Parque de Campismo do Gameiro",""Evora",",campsite
"ESA (Estação de Serviço Autocaravanas)",""Evora",",campsite
"Horta silva",""Evora",",campsite
"Area di Sosta Camper Evora",""Evora",",campsite
"Courela do Ribeiro",""Evora",",campsite
"Camping Oleiros",""Castelo Branco",",campsite
"Camping Asseiceira",""Castelo Branco",",campsite
"Monte da Pia Camping",""Castelo Branco",",campsite
"Municipal Camping Park In Idanha-a-Nova",""Castelo Branco",",campsite
"Camping Côja",""Castelo Branco",",campsite
Dreamcatcheryurts,""Castelo Branco",",campsite
"Campscape Beira Marvão Alentejo (16+)",""Castelo Branco",",campsite
"Desarva Holiday Hamlet",""Castelo Branco",",campsite
"Parque Municipal de Campismo de Arganil",""Castelo Branco",",campsite
Camping,""Castelo Branco",",campsite
Fundatur,""Castelo Branco",",campsite
"Quinta do Pomarinho",""Castelo Branco",",campsite
"Quinta do Maral - naturist camping",""Castelo Branco",",campsite
"Willow Croft",""Castelo Branco",",campsite
"Parque de Campismo do Fundão",""Castelo Branco",",campsite
"Garden X",""Castelo Branco",",campsite
"Xisto Camping",""Castelo Branco",",campsite
"Parque de Campismo Municipal de Castelo Branco",""Castelo Branco",",campsite
"Parque de Campismo do Freixial",""Castelo Branco",",campsite
"Quinta Gaia",""Castelo Branco",",campsite
"Assemblies Of God Bethel Camp",""Lagos",",campsite
"Gospel Village Camping Ground",""Lagos",",campsite
"Alaro guest house",""Lagos",",campsite
"Assemblies of God Youth Camp",""Lagos",",campsite
"Scripture Union Camp of Grace, Ijede",""Lagos",",campsite
"A^2 nysc orientation camp kits store",""Lagos",",campsite
"YMCA of Lagos Camp Facility",""Lagos",",campsite
"Qeemah Nysc kit package",""Lagos",",campsite
"ECWA CAMP AGBOWA",""Lagos",",campsite
"Hair By Rayo",""Lagos",",campsite
"Cornerstone Vision Ministy Camp Ground",""Lagos",",campsite
"Living Word Camp",""Lagos",",campsite
"Mountain of Fire and Miracles Ministries Camp Ground",""Lagos",",campsite
"Ogudu Boys Scout",""Lagos",",campsite
"Silver Tent Ventures",""Lagos",",campsite
"Foursquare Camp Nigeria",""Lagos",",campsite
"KCE VENTURES TENT",""Lagos",",campsite
"Eaglez prints",""Lagos",",campsite
"Turiscampo Camping & Bungalow Park",""Sagres",",campsite
"Camping Alvor",""Sagres",",campsite
"SALEMA ECO CAMP - SURF & NATURE",""Sagres",",campsite
"Camping Trindade",""Sagres",",campsite
"Camping Serrão",""Sagres",",campsite
"Campsites Ferragudo",""Sagres",",campsite
"Campervan Camping Parking",""Sagres",",campsite
"Parque de Campismo Orbitur Sagres",""Sagres",",campsite
Parking,""Sagres",",campsite
"Parque De Campismo São Miguel",""Sagres",",campsite
"Orbitur Camping Park - Valverde",""Sagres",",campsite
"complexe sportif",""Sagres",",campsite
"Aire de Camping car",""Sagres",",campsite
"Caravan Pet Park",""Sagres",",campsite
"Free area Silves",""Sagres",",campsite
"Camping Vale da Carrasqueira",""Sagres",",campsite
"Oasis Camping",""Sagres",",campsite
"Lama Glamping",""Sagres",",campsite
"Camping Casa Barco a Vela",""Sagres",",campsite
"Parque do Rio",""Sagres",",campsite
"hu Roma camping in town",""Roma",",campsite
"Camping marina di Roma Passoscuro",""Roma",",campsite
"Camping Queen Camper",""Roma",",campsite
"Camping Village Parco della Gallinara",""Roma",",campsite
"camping Le Capanne",""Roma",",campsite
"Camping Roma CAPITOL",""Roma",",campsite
"Camping Internazionale di Castelfusano",""Roma",",campsite
"Small Camp Roma Capitol, Mobile Home It-std-41 2",""Roma",",campsite
"Happy Village e Camping Roma",""Roma",",campsite
"Camping Village family Rossi",""Roma",",campsite
"Camping Roma Flash",""Roma",",campsite
"Club Campeggiatori Romani",""Roma",",campsite
"Camping Vigna Di Valle",""Roma",",campsite
"Camping Village Lago Di Bracciano S.R.L. Unipersonale",""Roma",",campsite
"Camping Storico e Storiografico",""Roma",",campsite
"Seven Hills Camping & Village",""Roma",",campsite
"Campeggio sunset",""Roma",",campsite
"Onda Camping Village",""Roma",",campsite
"Il gazebo",""Roma",",campsite
"Camping Village city of Milan",""Milán",",campsite
"Camping Lake Monate",""Milán",",campsite
"Camping Class",""Milán",",campsite
"Camping Rose",""Milán",",campsite
"Camping Lago Azzurro",""Milán",",campsite
"Camping Zambla",""Milán",",campsite
"Camping Città di Angera",""Milán",",campsite
"Nomading Camp Milano",""Milán",",campsite
"Camping Il Gabbiano",""Milán",",campsite
"Italy Camping Lido",""Milán",",campsite
"Camping Spiaggia",""Milán",",campsite
"Area Campe Service Pandino (no SOSTA)",""Milán",",campsite
"Camping La Quercia Di Bucelloni Graziella",""Milán",",campsite
"Camping Solcio",""Milán",",campsite
"camping 2 lakes",""Milán",",campsite
"Monza Camping",""Milán",",campsite
"Free Camping Lecco (no Camping)",""Milán",",campsite
"Camping La Famiglia",""Milán",",campsite
"Camping La Madunina Srl",""Milán",",campsite
"Camping Montorfano Como",""Milán",",campsite
"Camping Sant'Antonio",""Nápoles",",campsite
"Village Camping Campogaio Santafortunata",""Nápoles",",campsite
"Camping Pompei",""Nápoles",",campsite
"Camping Beata Solitudo",""Nápoles",",campsite
"Vesuvio Eco Camping",""Nápoles",",campsite
"Area di sosta camper "La Terrazza di Hermès" Pompei",""Nápoles",",campsite
"Villaggio Camping Nettuno",""Nápoles",",campsite
"Camping Spartacus",""Nápoles",",campsite
"Camping Village Baia Domizia",""Nápoles",",campsite
"Camping Zeus (Area 2)",""Nápoles",",campsite
"Agricampeggio Oasi Verde",""Nápoles",",campsite
"AGRICAMPER LA GIULIANA -SOSTA CAMPER.",""Nápoles",",campsite
"Agriturismo Camping Il Campanile",""Nápoles",",campsite
"Camping Chalet Azzurro",""Nápoles",",campsite
Agricampeggio,""Nápoles",",campsite
"Camping Paradiso",""Nápoles",",campsite
"Camping Agerola",""Nápoles",",campsite
"Camping I Pini",""Nápoles",",campsite
"Paluba Camping Ischia",""Nápoles",",campsite
"Camping San Domenico",""Nápoles",",campsite
