name,city,type
"Parque de Campismo da Lagoa",""Lisboa",",campsite
"Parque de Campismo de Vila Cha",""Porto",",campsite
"ORBITUR Canidelo",""Porto",",campsite
"GarfePark Camping",""Porto",",campsite
"Orbitur - Angeiras",""Porto",",campsite
"Parque Municipal de Campismo",""Porto",",campsite
"CAMPING PARK FÃO",""Porto",",campsite
"Camping Park of Furadouro",""Porto",",campsite
"Camping Braga",""Porto",",campsite
"Parque de Campismo de Vila do Conde",""Porto",",campsite
"Parque de Campismo Marisol",""Porto",",campsite
"Camping Medas",""Porto",",campsite
"Parque de Campismo de Salgueiros",""Porto",",campsite
"Camping Torreira Park",""Porto",",campsite
"NaturVeredas, Refúgio da Freita",""Porto",",campsite
"Camping Vouzela Park",""Porto",",campsite
"Istas Garden",""Porto",",campsite
"Amarante camping",""Porto",",campsite
"Parque de Campismo de Esmoriz",""Porto",",campsite
"Rural Camping Park of Vila Fria",""Porto",",campsite
"Parque de Campismo de Belinho",""Porto",",campsite
"Camping & Glamping Muiñeira",""Vigo",",campsite
"Camping de Canido",""Vigo",",campsite
"Camping HIO",""Vigo",",campsite
"Camping Paxariñas",""Vigo",",campsite
"Camping Orbitur Caminha park",""Vigo",",campsite
"Camping Rianxo",""Vigo",",campsite
"Camping Playa Canelas",""Vigo",",campsite
"Camping Cañiza",""Vigo",",campsite
"Camping Paisaxe II",""Vigo",",campsite
"Camping Salinas",""Vigo",",campsite
"Camping Maceira",""Vigo",",campsite
"Camping Limens",""Vigo",",campsite
"Camping Moreiras",""Vigo",",campsite
"Kampaoh Pintens",""Vigo",",campsite
"Camping Baiona Playa",""Vigo",",campsite
"Camping Las Dunas",""Vigo",",campsite
"Camping Playa Rías Baixas",""Vigo",",campsite
"Camping Santa Tecla",""Vigo",",campsite
"Camping 1ª O Muiño - Bungalow Park",""Vigo",",campsite
"Camping Paisaxe",""Vigo",",campsite
"Camping Ribadesella Asturias",""Gijón",",campsite
"Camping Covadonga in Cangas de Onis",""Gijón",",campsite
"Camping Villaviciosa Asturias",""Gijón",",campsite
"Camping Perlora",""Gijón",",campsite
"Camping Buenavista in Perlora",""Gijón",",campsite
"Camping Playa Sauces in Ribadesella",""Gijón",",campsite
"Somiedo Camper Park",""Gijón",",campsite
"Kampaoh Deva",""Gijón",",campsite
"Camping Sella Camping in Asturias",""Gijón",",campsite
"El Pedreru",""Gijón",",campsite
"Camping Playa Spain",""Gijón",",campsite
"Camping Los Arrudos Redes Aventura Caleao",""Gijón",",campsite
"Camping Arenal de Moris",""Gijón",",campsite
"Camping Yolimar",""Gijón",",campsite
"Camping Deva Gijon",""Gijón",",campsite
"Kampaoh Castrillón",""Gijón",",campsite
"Parque Antonio Ortega",""Gijón",",campsite
"Camping El Rinconín",""Gijón",",campsite
"Camping Area di sosta camper Banugues-Gozon",""Gijón",",campsite
"Camping Los Pradones",""Gijón",",campsite
"Camping Caravaning La Manga",""Murcia",",campsite
"Camping Florantilles",""Murcia",",campsite
"Camping Playa de Mazarrón",""Murcia",",campsite
"Camping La Fuente",""Murcia",",campsite
"Camper Park San Fulgencio - Camping",""Murcia",",campsite
"Camping Sierra Espuña",""Murcia",",campsite
"Camping la Paz",""Murcia",",campsite
"Camping San Javier",""Murcia",",campsite
"Camping Las Torres Mazarron",""Murcia",",campsite
"Sheppards Rest",""Murcia",",campsite
"Camp El Tranquilo - Camp Pinoso - Adultos Solo - NO Children Pinoso Camp",""Murcia",",campsite
"Càmping Les Palmeres",""Murcia",",campsite
"Camping La Pedrera",""Murcia",",campsite
"Camping Los Madriles",""Murcia",",campsite
"CAMPING LA RAFA",""Murcia",",campsite
"Camper park Casablanca murcia",""Murcia",",campsite
"CAMPING EL REFUGIO",""Murcia",",campsite
"Minicamping Oasis - Camping",""Murcia",",campsite
"Área de caravanas y camper cartagena",""Murcia",",campsite
"Camping Mar Menor",""Murcia",",campsite
"Zona d'acampada sa Font Coberta",""Palma de Mallorca",",campsite
MIFO,""Palma de Mallorca",",campsite
WC,""Palma de Mallorca",",campsite
"Zona d'acampada Marjanor IBANAT",""Palma de Mallorca",",campsite
"Zona d'acampada Es Pixarells IBANAT",""Palma de Mallorca",",campsite
Kemping,""Palma de Mallorca",",campsite
"Camp d'en Torrella",""Palma de Mallorca",",campsite
Pixarells,""Palma de Mallorca",",campsite
"Verein der Freunde Mallorcas",""Palma de Mallorca",",campsite
"Càmping Muro",""Palma de Mallorca",",campsite
"El Llano",""Palma de Mallorca",",campsite
"Motorhome park for free",""Las Palmas de Gran Canaria",",campsite
"Camping Tasartico",""Las Palmas de Gran Canaria",",campsite
"Motorhome Park",""Las Palmas de Gran Canaria",",campsite
"Camping Playa de Vargas",""Las Palmas de Gran Canaria",",campsite
"Motorhome and car free parking",""Las Palmas de Gran Canaria",",campsite
"Paying motorhome area",""Las Palmas de Gran Canaria",",campsite
"Zona de acampada Llanos de la Pez",""Las Palmas de Gran Canaria",",campsite
"Club de Camping y Caravaning Gran Canaria",""Las Palmas de Gran Canaria",",campsite
"Camping El Pinillo",""Las Palmas de Gran Canaria",",campsite
"Motorhome and car park",""Las Palmas de Gran Canaria",",campsite
"Zona de Acampada Morro De Santiago",""Las Palmas de Gran Canaria",",campsite
"Camping Temisas",""Las Palmas de Gran Canaria",",campsite
"Llanos del Salado",""Las Palmas de Gran Canaria",",campsite
"Camp the Garañón",""Las Palmas de Gran Canaria",",campsite
"Zona De Acampada Salinetas",""Las Palmas de Gran Canaria",",campsite
"Llanos de La Mimbre",""Las Palmas de Gran Canaria",",campsite
"Bungalows Vista Dunas",""Las Palmas de Gran Canaria",",campsite
"Parking caravanas",""Las Palmas de Gran Canaria",",campsite
"Alto Del Pozo",""Las Palmas de Gran Canaria",",campsite
"Camping Angosto",""Bilbao",",campsite
"Camping & Bungalows Leagi",""Bilbao",",campsite
"Camping & Bungalows Portuondo",""Bilbao",",campsite
"Camping La Barguilla",""Bilbao",",campsite
"Camping Saturraran",""Bilbao",",campsite
"Camping Galdona",""Bilbao",",campsite
"Camping Arrien Gorliz",""Bilbao",",campsite
"Camping Laredo",""Bilbao",",campsite
"Camping Playa de Ris - Noja",""Bilbao",",campsite
"Camping Santa Elena",""Bilbao",",campsite
