name,address,rating,website,schedule,latitude,longitude,city
"Camping El Canto la Gallina","Tr.ª dos de Mayo 1 Valdemaqueda",4.3,http://www.elcantolagallina.com/,"Schedule not available",40.41677540,-3.70379020,Madrid
"Finca De Los Sueños","Cam. de San Martín de la Vega a Arganda",4.5,https://finca-de-suenos.business.site/?utm_source=gmb&utm_medium=referral,"[Monday: 9:00u202fAMu2009–u200910:00u202fPM Tuesday: 9:00u202fAMu2009–u200910:00u202fPM Wednesday: 9:00u202fAMu2009–u200910:00u202fPM Thursday: 9:00u202fAMu2009–u200910:00u202fPM Friday: 9:00u202fAMu2009–u200910:00u202fPM Saturday: 9:00u202fAMu2009–u200910:00u202fPM Sunday: 9:00u202fAMu2009–u200910:00u202fPM]",40.41677540,-3.70379020,Madrid
"Camping soto","Ctra. Galápagos 63B Torrejón del Rey",4.4,"Website not available","Schedule not available",40.41677540,-3.70379020,Madrid
"Bungalows - Camping - Alpha","C. Calidad S/N Getafe",3.5,http://www.campingalpha.com/,"[Monday: 8:30u202fAMu2009–u200911:00u202fPM Tuesday: 8:30u202fAMu2009–u200911:00u202fPM Wednesday: 8:30u202fAMu2009–u200911:00u202fPM Thursday: 8:30u202fAMu2009–u200911:00u202fPM Friday: 8:30u202fAMu2009–u200911:00u202fPM Saturday: 8:30u202fAMu2009–u200911:00u202fPM Sunday: 8:30u202fAMu2009–u200911:00u202fPM]",40.41677540,-3.70379020,Madrid
"Belo’s Farm","PC6R+8C El Molar","Rating not available","Website not available","Schedule not available",40.41677540,-3.70379020,Madrid
"Camping 3 Estrelles","C-31 km 1862",3.8,http://tresestrellascampings.com/barcelona,"[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",41.38739740,2.16856800,Barcelona
"Càmping Bon Repòs","Passeig Marítim 17 Santa Susanna",4.1,http://www.campingbonrepos.com/,"[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",41.38739740,2.16856800,Barcelona
"Camping BARCELONA","Costa de Barcelona Avinguda del Maresme 665 Mataró",4.2,http://www.campingbarcelona.com/,"[Monday: 8:00u202fAMu2009–u200911:00u202fPM Tuesday: 8:00u202fAMu2009–u200911:00u202fPM Wednesday: 8:00u202fAMu2009–u200911:00u202fPM Thursday: 8:00u202fAMu2009–u200911:00u202fPM Friday: 8:00u202fAMu2009–u200911:00u202fPM Saturday: 8:00u202fAMu2009–u200911:00u202fPM Sunday: 8:00u202fAMu2009–u200911:00u202fPM]",41.38739740,2.16856800,Barcelona
"Camping Estrella de Mar","C-31 km 16.7 Castelldefels",3.6,http://www.caesmar.com/,"[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",41.38739740,2.16856800,Barcelona
"Camping Bellsol","Passeig Marítim 46 Pineda de Mar",4.2,http://www.campingbellsol.com/,"[Monday: 8:00u202fAMu2009–u20098:00u202fPM Tuesday: 8:00u202fAMu2009–u20098:00u202fPM Wednesday: 8:00u202fAMu2009–u20098:00u202fPM Thursday: 8:00u202fAMu2009–u20098:00u202fPM Friday: 8:00u202fAMu2009–u200910:00u202fPM Saturday: 8:00u202fAMu2009–u200910:00u202fPM Sunday: 8:00u202fAMu2009–u20098:00u202fPM]",41.38739740,2.16856800,Barcelona
"Vilanova Park","6MJV+XV Ctra Arboç BV-2115 2.5 Vilanova i la Geltrú",4.2,http://www.vilanovapark.com/,"[Monday: 9:00u202fAMu2009–u20098:00u202fPM Tuesday: 9:00u202fAMu2009–u20098:00u202fPM Wednesday: 9:00u202fAMu2009–u20098:00u202fPM Thursday: 9:00u202fAMu2009–u20098:00u202fPM Friday: 9:00u202fAMu2009–u20098:00u202fPM Saturday: 9:00u202fAMu2009–u20098:00u202fPM Sunday: 9:00u202fAMu2009–u20096:00u202fPM]",41.38739740,2.16856800,Barcelona
"Càmping Enmar","Avinguda Ntra Sra de la Mercè s/n Pineda de Mar",4.4,http://www.campingenmar.com/,"[Monday: 8:00u202fAMu2009–u20098:30u202fPM Tuesday: 8:00u202fAMu2009–u20098:30u202fPM Wednesday: 8:00u202fAMu2009–u20098:30u202fPM Thursday: 8:00u202fAMu2009–u20098:30u202fPM Friday: 8:00u202fAMu2009–u20098:30u202fPM Saturday: 8:00u202fAMu2009–u20098:30u202fPM Sunday: 8:00u202fAMu2009–u20098:30u202fPM]",41.38739740,2.16856800,Barcelona
"Camping Mar De Cunit","Av. de Tarragona 146 Cunit",3.4,https://cunitvacaciones.com/,"[Monday: 8:00u202fAMu2009–u20099:00u202fPM Tuesday: 8:00u202fAMu2009–u20099:00u202fPM Wednesday: 8:00u202fAMu2009–u20099:00u202fPM Thursday: 8:00u202fAMu2009–u20099:00u202fPM Friday: 8:00u202fAMu2009–u20099:00u202fPM Saturday: 8:00u202fAMu2009–u20099:00u202fPM Sunday: 8:00u202fAMu2009–u20099:00u202fPM]",41.38739740,2.16856800,Barcelona
"Campinggemeinschaft Roquetes","Diseminado Camping Roquetes 1 Barcelona",4.4,http://www.campingroquetes.es/,"[Monday: 8:00u202fAMu2009–u200911:00u202fPM Tuesday: 8:00u202fAMu2009–u200911:00u202fPM Wednesday: 8:00u202fAMu2009–u200911:00u202fPM Thursday: 8:00u202fAMu2009–u200911:00u202fPM Friday: 8:00u202fAMu2009–u200911:00u202fPM Saturday: 8:00u202fAMu2009–u200911:00u202fPM Sunday: 8:00u202fAMu2009–u200911:00u202fPM]",41.38739740,2.16856800,Barcelona
"Càmping Riudarenes S.L.","C/ la Riera s/n Girona",4.1,http://www.camping-riudarenes.com/,"[Monday: 9:30u202fAMu2009–u200910:00u202fPM Tuesday: 9:30u202fAMu2009–u200910:00u202fPM Wednesday: 9:30u202fAMu2009–u200910:00u202fPM Thursday: 9:30u202fAMu2009–u200910:00u202fPM Friday: 9:30u202fAMu2009–u200910:00u202fPM Saturday: 9:30u202fAMu2009–u200910:00u202fPM Sunday: 9:30u202fAMu2009–u200910:00u202fPM]",41.38739740,2.16856800,Barcelona
"Camping Platja Vilanova","Càmping Platja Vilanova C-246a km 48 Vilanova i la Geltrú",4.1,http://www.campingplatjavilanova.com/,"[Monday: Closed Tuesday: Closed Wednesday: Closed Thursday: Closed Friday: 8:00u202fAMu2009–u200910:00u202fPM Saturday: 8:00u202fAMu2009–u200910:00u202fPM Sunday: 8:00u202fAMu2009–u20098:00u202fPM]",41.38739740,2.16856800,Barcelona
"Camping la Rueda","Carretera C-31 Km. 1462 Cubelles",3.6,http://www.la-rueda.com/,"[Monday: 9:00u202fAMu2009–u20092:00u202fPM Tuesday: 9:00u202fAMu2009–u20092:00u202fPM Wednesday: 9:00u202fAMu2009–u20092:00u202fPM Thursday: 9:00u202fAMu2009–u20092:00u202fPM Friday: 9:00u202fAMu2009–u20092:00u202fPM 4:00u2009–u200910:30u202fPM Saturday: 8:00u202fAMu2009–u200910:30u202fPM Sunday: 8:00u202fAMu2009–u20098:00u202fPM]",41.38739740,2.16856800,Barcelona
"Camping El Far","Carretera N-2 Km 666 Calella",4.2,http://www.campingelfar.com/,"[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",41.38739740,2.16856800,Barcelona
"Càmping Oasis","Avinguda del Mar 1 Santa Susanna",4.7,https://campingoasis.es/,"[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",41.38739740,2.16856800,Barcelona
"Càmping Masnou","Carrer Camil Fabra 33 Barcelona",3.1,"Website not available","Schedule not available",41.38739740,2.16856800,Barcelona
"Camping Resort Els Pins","Camí de la Pomereda s/n",3.9,http://www.campingelspins.es/,"[Monday: 8:00u202fAMu2009–u20094:00u202fPM Tuesday: 8:00u202fAMu2009–u20094:00u202fPM Wednesday: 8:00u202fAMu2009–u20094:00u202fPM Thursday: 8:00u202fAMu2009–u20094:00u202fPM Friday: 8:00u202fAMu2009–u20094:00u202fPM Saturday: Closed Sunday: Closed]",41.38739740,2.16856800,Barcelona
"Càmping Mas Albà","Av. Mas Alba 71 Sant Pere de Ribes",4.7,"Website not available","[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",41.38739740,2.16856800,Barcelona
"Paramount Places","Vilanova Park Apartado 64 Ctra. Arboc km 2.5 Vilanova i la Geltru Barcelona",4.4,http://www.paramountplaces.co.uk/,"[Monday: 7:00u202fAMu2009–u200911:00u202fPM Tuesday: 7:00u202fAMu2009–u200911:00u202fPM Wednesday: 7:00u202fAMu2009–u200911:00u202fPM Thursday: 7:00u202fAMu2009–u200911:00u202fPM Friday: 7:00u202fAMu2009–u200911:00u202fPM Saturday: 7:00u202fAMu2009–u200911:00u202fPM Sunday: 7:00u202fAMu2009–u200911:00u202fPM]",41.38739740,2.16856800,Barcelona
"Càmping La Verneda","Avinguda Maresme 35 Sant Cebrià de Vallalta",4.1,http://www.campinglaverneda.com/,"[Monday: 8:00u202fAMu2009–u200910:00u202fPM Tuesday: 8:00u202fAMu2009–u200910:00u202fPM Wednesday: 8:00u202fAMu2009–u200910:00u202fPM Thursday: 8:00u202fAMu2009–u200910:00u202fPM Friday: 8:00u202fAMu2009–u200910:00u202fPM Saturday: 8:00u202fAMu2009–u200910:00u202fPM Sunday: 8:00u202fAMu2009–u200910:00u202fPM]",41.38739740,2.16856800,Barcelona
"Càmping El Toro Azul","Carretera NII KM. 6578 Arenys de Mar",3.7,http://www.eltoroazul.com/,"[Monday: 8:00u202fAMu2009–u200910:00u202fPM Tuesday: 8:00u202fAMu2009–u200910:00u202fPM Wednesday: 8:00u202fAMu2009–u200910:00u202fPM Thursday: 8:00u202fAMu2009–u200910:00u202fPM Friday: 8:00u202fAMu2009–u200910:00u202fPM Saturday: 8:00u202fAMu2009–u200910:00u202fPM Sunday: 8:00u202fAMu2009–u200910:00u202fPM]",41.38739740,2.16856800,Barcelona
